start_time,init_thresh,hit_thresh,Force,hold_time,duration,success,peak
0.005,100,500,"(0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 949.0), (0.0, 949.0), (6.0, 949.0), (13.0, 950.0), (19.0, 947.0), (25.0, 948.0), (32.0, 947.0), (38.0, 948.0), (44.0, 947.0), (51.0, 948.0), (57.0, 948.0), (64.0, 948.0), (70.0, 948.0), (77.0, 948.0), (83.0, 947.0), (90.0, 947.0), (96.0, 969.0), (103.0, 1013.0), (109.0, 1023.0), (116.0, 1023.0), (123.0, 1023.0), (130.0, 1023.0), (136.0, 1023.0), (143.0, 1023.0), (150.0, 1023.0), (157.0, 1023.0), (164.0, 1023.0), (171.0, 1023.0), (178.0, 1023.0), (185.0, 1023.0), (192.0, 1023.0), (199.0, 1023.0), (206.0, 1023.0), (213.0, 1023.0), (220.0, 1023.0), (227.0, 1023.0), (235.0, 1023.0), (242.0, 1023.0), (249.0, 1023.0), (256.0, 1023.0), (264.0, 1023.0), (271.0, 1023.0), (279.0, 1023.0), (286.0, 1023.0), (294.0, 1023.0), (301.0, 1023.0), (309.0, 1023.0), (316.0, 1023.0), (324.0, 1023.0), (331.0, 1023.0), (339.0, 1023.0), (347.0, 1023.0), (354.0, 1023.0), (362.0, 1023.0), (370.0, 1023.0), (377.0, 1023.0), (385.0, 1023.0), (393.0, 1023.0), (401.0, 1023.0), (409.0, 1023.0), (417.0, 1023.0), (424.0, 1023.0), (432.0, 1023.0), (440.0, 1023.0), (448.0, 1023.0), (457.0, 1023.0), (465.0, 1023.0), (473.0, 1023.0), (481.0, 1023.0), (490.0, 1023.0), (498.0, 1023.0), (506.0, 1023.0), (515.0, 1023.0), (523.0, 1023.0), (532.0, 1023.0), (540.0, 1023.0), (549.0, 1023.0), (557.0, 1023.0), (565.0, 1023.0), (574.0, 1023.0), (582.0, 1023.0), (591.0, 1023.0), (599.0, 1023.0), (608.0, 1023.0), (616.0, 1023.0), (625.0, 1023.0), (634.0, 1023.0), (642.0, 1023.0), (651.0, 1023.0), (660.0, 1023.0), (668.0, 1023.0), (677.0, 1023.0), (686.0, 1023.0), (695.0, 1023.0), (703.0, 1023.0), (712.0, 1023.0), (721.0, 1023.0), (730.0, 1023.0), (739.0, 1023.0), (749.0, 1023.0), (758.0, 1023.0), (767.0, 1023.0), (776.0, 1023.0), (785.0, 1023.0), (795.0, 1023.0), (804.0, 1023.0), (813.0, 1023.0), (823.0, 1023.0), (832.0, 1023.0), (842.0, 1023.0), (851.0, 1023.0), (861.0, 1023.0), (870.0, 1023.0), (880.0, 1023.0), (889.0, 1023.0), (899.0, 1023.0), (909.0, 1023.0), (919.0, 1023.0), (929.0, 1023.0), (939.0, 1012.0), (948.0, 936.0), (958.0, 873.0), (968.0, 807.0), (979.0, 744.0), (989.0, 669.0), (999.0, 611.0), (1009.0, 576.0), (1018.0, 557.0), (1027.0, 545.0), (1036.0, 528.0), (1045.0, 510.0), (1054.0, 485.0), (1062.0, 459.0), (1071.0, 426.0), (1080.0, 380.0), (1089.0, 328.0), (1098.0, 258.0), (1106.0, 200.0), (1115.0, 132.0), (1124.0, 70.0), (1133.0, 1.0), (1141.0, 2.0), (1150.0, 2.0), (1159.0, 2.0), (1167.0, 1.0), (1176.0, 2.0), (1185.0, 2.0), (1194.0, 2.0), (1202.0, 1.0), (1211.0, 2.0), (1220.0, 1.0), (1228.0, 2.0), (1237.0, 2.0), (1246.0, 1.0), (1254.0, 2.0), (1263.0, 1.0), (1272.0, 1.0), (1280.0, 2.0), (1289.0, 2.0), (1298.0, 2.0), (1306.0, 0.0), (1315.0, 1.0), (1324.0, 2.0), (1332.0, 2.0), (1341.0, 2.0), (1349.0, 2.0), (1358.0, 1.0), (1367.0, 2.0), (1375.0, 1.0), (1384.0, 2.0), (1393.0, 2.0), (1401.0, 2.0), (1410.0, 2.0), (1418.0, 1.0), (1427.0, 2.0), (1436.0, 3.0), (1444.0, 2.0), (1453.0, 1.0), (1461.0, 1.0), (1470.0, 1.0), (1478.0, 2.0), (1487.0, 1.0), (1496.0, 1.0), (1504.0, 2.0), (1513.0, 3.0), (1521.0, 2.0), (1530.0, 1.0)",500,0.515,1,1023
3.019,100,501,"(0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 105.0), (-985.0, 2.0), (-977.0, 1.0), (-969.0, 2.0), (-961.0, 2.0), (-953.0, 2.0), (-945.0, 2.0), (-937.0, 1.0), (-929.0, 1.0), (-921.0, 2.0), (-913.0, 2.0), (-905.0, 2.0), (-897.0, 2.0), (-889.0, 1.0), (-881.0, 2.0), (-873.0, 2.0), (-865.0, 1.0), (-857.0, 2.0), (-849.0, 2.0), (-841.0, 2.0), (-833.0, 2.0), (-825.0, 1.0), (-817.0, 2.0), (-809.0, 1.0), (-801.0, 2.0), (-793.0, 2.0), (-785.0, 1.0), (-777.0, 2.0), (-768.0, 2.0), (-760.0, 2.0), (-752.0, 2.0), (-744.0, 1.0), (-736.0, 1.0), (-728.0, 2.0), (-720.0, 1.0), (-712.0, 3.0), (-704.0, 1.0), (-696.0, 2.0), (-688.0, 2.0), (-680.0, 1.0), (-672.0, 2.0), (-664.0, 2.0), (-656.0, 2.0), (-648.0, 1.0), (-640.0, 2.0), (-632.0, 2.0), (-624.0, 1.0), (-616.0, 2.0), (-608.0, 1.0), (-599.0, 1.0), (-591.0, 1.0), (-583.0, 1.0), (-575.0, 1.0), (-567.0, 1.0), (-559.0, 1.0), (-551.0, 1.0), (-543.0, 2.0), (-535.0, 2.0), (-527.0, 1.0), (-519.0, 2.0), (-511.0, 1.0), (-503.0, 2.0), (-495.0, 2.0), (-487.0, 1.0), (-479.0, 1.0), (-470.0, 1.0), (-462.0, 2.0), (-454.0, 2.0), (-446.0, 1.0), (-438.0, 2.0), (-430.0, 2.0), (-422.0, 2.0), (-412.0, 2.0), (-404.0, 1.0), (-396.0, 2.0), (-388.0, 1.0), (-380.0, 2.0), (-372.0, 1.0), (-364.0, 2.0), (-356.0, 2.0), (-347.0, 2.0), (-339.0, 2.0), (-331.0, 2.0), (-323.0, 1.0), (-315.0, 2.0), (-307.0, 2.0), (-299.0, 1.0), (-291.0, 2.0), (-283.0, 2.0), (-275.0, 2.0), (-267.0, 2.0), (-258.0, 3.0), (-250.0, 1.0), (-242.0, 2.0), (-234.0, 2.0), (-226.0, 3.0), (-218.0, 1.0), (-210.0, 2.0), (-202.0, 2.0), (-194.0, 1.0), (-186.0, 2.0), (-178.0, 2.0), (-170.0, 1.0), (-161.0, 2.0), (-153.0, 1.0), (-145.0, 2.0), (-137.0, 2.0), (-129.0, 1.0), (-121.0, 2.0), (-113.0, 1.0), (-105.0, 2.0), (-97.0, 2.0), (-89.0, 1.0), (-81.0, 2.0), (-72.0, 2.0), (-64.0, 2.0), (-56.0, 2.0), (-48.0, 16.0), (-40.0, 33.0), (-32.0, 52.0), (-24.0, 66.0), (-16.0, 78.0), (-8.0, 90.0), (0.0, 105.0), (8.0, 124.0), (18.0, 149.0), (26.0, 167.0), (34.0, 192.0), (42.0, 219.0), (50.0, 244.0), (58.0, 271.0), (66.0, 297.0), (74.0, 320.0), (82.0, 343.0), (91.0, 365.0), (99.0, 391.0), (107.0, 423.0), (115.0, 458.0), (123.0, 498.0), (131.0, 527.0), (139.0, 558.0), (148.0, 591.0), (156.0, 623.0), (164.0, 653.0), (173.0, 682.0), (181.0, 708.0), (189.0, 734.0), (198.0, 756.0), (206.0, 776.0), (214.0, 799.0), (223.0, 824.0), (231.0, 859.0), (239.0, 889.0), (248.0, 927.0), (256.0, 963.0), (264.0, 989.0), (273.0, 1011.0), (281.0, 1023.0), (289.0, 1023.0), (298.0, 1023.0), (306.0, 1023.0), (314.0, 1023.0), (323.0, 1023.0), (331.0, 1023.0), (339.0, 1023.0), (348.0, 1023.0), (356.0, 1023.0), (364.0, 1023.0), (373.0, 1023.0), (381.0, 1023.0), (390.0, 1023.0), (398.0, 1023.0), (406.0, 1023.0), (415.0, 1023.0), (423.0, 1023.0), (432.0, 1023.0), (440.0, 1023.0), (448.0, 1023.0), (456.0, 1023.0), (465.0, 1023.0), (473.0, 1023.0), (481.0, 1023.0), (490.0, 1023.0), (498.0, 1023.0), (506.0, 1023.0), (515.0, 1023.0), (523.0, 1023.0), (531.0, 1023.0), (540.0, 1023.0), (548.0, 1023.0), (556.0, 1023.0), (565.0, 1023.0), (573.0, 1023.0), (581.0, 1023.0), (590.0, 1023.0), (598.0, 1023.0), (606.0, 1023.0), (614.0, 1023.0), (623.0, 1023.0), (631.0, 1023.0), (639.0, 1023.0), (648.0, 1023.0), (656.0, 1023.0), (664.0, 1023.0), (672.0, 1023.0), (681.0, 1023.0), (689.0, 1023.0), (697.0, 1023.0), (705.0, 1023.0), (713.0, 1023.0), (721.0, 1023.0), (729.0, 1023.0), (737.0, 1023.0), (745.0, 1023.0), (753.0, 1023.0), (761.0, 1023.0), (769.0, 1023.0), (777.0, 1023.0), (785.0, 1023.0), (793.0, 1023.0), (801.0, 1023.0), (809.0, 1023.0), (817.0, 1023.0), (825.0, 1023.0), (833.0, 1023.0), (841.0, 1023.0), (849.0, 1023.0), (857.0, 1023.0), (865.0, 1023.0), (874.0, 1023.0), (882.0, 1023.0), (890.0, 1023.0), (898.0, 1023.0), (906.0, 1023.0), (914.0, 1023.0), (922.0, 1023.0), (930.0, 1023.0), (938.0, 1023.0), (946.0, 1023.0), (954.0, 1023.0), (962.0, 1023.0), (970.0, 1023.0), (978.0, 1023.0), (986.0, 1023.0), (994.0, 1023.0), (1002.0, 1023.0), (1010.0, 1023.0), (1018.0, 1023.0), (1026.0, 1023.0), (1034.0, 1023.0), (1042.0, 1023.0), (1051.0, 1023.0), (1059.0, 1023.0), (1067.0, 1012.0), (1075.0, 999.0), (1083.0, 976.0), (1159.0, 663.0), (1167.0, 596.0), (1175.0, 545.0), (1183.0, 504.0), (1191.0, 467.0), (1199.0, 438.0), (1206.0, 409.0), (1214.0, 386.0), (1222.0, 361.0), (1230.0, 335.0), (1238.0, 301.0), (1246.0, 257.0), (1254.0, 215.0), (1262.0, 163.0), (1270.0, 112.0), (1278.0, 54.0), (1286.0, 2.0), (1294.0, 2.0), (1302.0, 1.0), (1310.0, 2.0), (1318.0, 1.0), (1326.0, 2.0), (1334.0, 1.0), (1342.0, 1.0), (1350.0, 1.0), (1358.0, 1.0), (1366.0, 1.0), (1374.0, 2.0), (1382.0, 1.0), (1390.0, 2.0), (1398.0, 2.0), (1406.0, 2.0), (1414.0, 2.0), (1422.0, 2.0), (1430.0, 2.0), (1438.0, 1.0), (1446.0, 2.0), (1454.0, 2.0), (1462.0, 1.0), (1470.0, 2.0), (1478.0, 2.0), (1486.0, 2.0), (1494.0, 2.0), (1502.0, 1.0), (1510.0, 1.0), (1518.0, 2.0), (1526.0, 0.0), (1534.0, 2.0), (1542.0, 2.0), (1550.0, 2.0), (1558.0, 2.0), (1565.0, 1.0), (1573.0, 2.0), (1581.0, 1.0), (1589.0, 2.0), (1597.0, 1.0), (1605.0, 1.0), (1613.0, 1.0), (1621.0, 2.0), (1629.0, 2.0), (1637.0, 2.0), (1645.0, 2.0), (1653.0, 2.0), (1661.0, 1.0)",510,0.648,1,1023
