start_time,init_thresh,hit_thresh,Force,hold_time,duration,success,peak
3.78,50.0,100.0,"{'time, angle': '(-413, 1),(-405, 2),(-398, 3),(-392, 4),(-386, 5),(-382, 6),(-377, 7),(-371, 8),(-366, 9),(-359, 10),(-355, 11),(-349, 12),(-342, 13),(-335, 14),(-323, 15),(-315, 16),(-297, 17),(-288, 18),(-275, 19),(-262, 20),(-243, 21),(-234, 22),(-225, 23),(-218, 24),(-210, 25),(-203, 26),(-195, 27),(-187, 28),(-181, 29),(-175, 30),(-168, 31),(-161, 32),(-155, 33),(-148, 34),(-139, 35),(-128, 36),(-120, 37),(-111, 38),(-101, 39),(-93, 40),(-84, 41),(-74, 42),(-71, 43),(-62, 44),(-54, 45),(-45, 46),(-35, 47),(-18, 48),(-13, 49),(0, 50),(7, 51),(17, 52),(25, 53),(35, 54),(44, 55),(55, 56),(73, 57),(116, 56),(130, 55),(139, 54),(152, 53),(160, 52),(169, 51),(177, 50),(187, 49),(198, 48),(210, 47),(233, 46),(331, 47),(341, 48),(349, 49),(356, 50),(363, 51),(370, 52),(374, 53),(380, 54),(387, 55),(392, 56),(398, 57),(403, 58),(409, 59),(420, 60),(421, 61),(422, 62),(426, 63),(430, 64),(434, 65),(440, 66),(441, 67),(445, 68),(448, 69),(452, 70),(455, 71),(459, 72),(463, 73),(467, 74),(470, 75),(474, 76),(477, 77),(484, 78),(487, 79),(496, 80),(508, 81),(530, 82),(544, 83),(569, 84),(595, 85),(612, 86),(631, 87),(642, 88),(653, 89),(665, 90),(675, 91),(683, 92),(693, 93),(701, 94),(709, 95),(715, 96),(723, 97),(738, 98),(739, 99),(742, 100),(747, 101),(752, 102),(757, 103),(761, 104),(765, 105),(769, 106),(774, 107),(779, 108),(790, 109),(791, 110),(793, 111),(798, 112),(803, 113),(808, 114),(814, 115),(818, 116),(821, 117),(827, 118),(832, 119),(837, 120),(842, 121),(845, 122),(853, 123),(853, 124),(856, 125),(861, 126),(864, 127),(867, 128),(872, 129),(875, 130),(879, 131),(881, 132),(884, 133),(888, 134),(891, 135),(895, 136),(901, 137),(911, 138),(912, 139),(912, 140),(914, 141),(921, 142),(924, 143),(931, 144),(935, 145),(943, 146),(953, 147),(969, 148),(987, 149),(1001, 150),(1014, 151),(1024, 152),(1035, 153),(1048, 154),(1069, 155),(1435, 154),(1456, 153),(1472, 152),(1488, 151),(1499, 150),(1513, 149),(1528, 148),(1566, 147),(1579, 146),(1591, 145),(1592, 144),(1596, 143),(1601, 142),(1606, 141),(1611, 140),(1614, 139),(1619, 138),(1623, 137),(1627, 136),(1632, 135),(1638, 134),(1646, 133),(1649, 132),(1656, 131),(1663, 130),(1674, 129),(1685, 128),(1712, 127),(1750, 126),(1758, 125),(1767, 124),(1774, 123),(1778, 122),(1784, 121),(1790, 120),(1796, 119),(1804, 118),(1815, 117),(1817, 116),(1825, 115),(1831, 114),(1837, 113),(1843, 112),(1849, 111),(1853, 110),(1859, 109),(1869, 108),(1870, 107),(1879, 106),(1896, 105),(1915, 104),(1925, 103),(1936, 102),(2028, 103),(2044, 104),(2065, 105),(2087, 106),(2102, 107),(2114, 108),(2124, 109),(2133, 110),(2142, 111),(2152, 112),(2159, 113),(2166, 114),(2172, 115),(2179, 116),(2186, 117),(2199, 118),(2200, 119),(2208, 120),(2218, 121),(2228, 122),(2240, 123),(2256, 124),(2268, 125),(2279, 126),(2290, 127),(2300, 128),(2311, 129),(2320, 130),(2332, 131),(2345, 132),(2369, 133),(2381, 134),(2398, 135),(2423, 136),(2440, 137),(2460, 138),(2480, 139),(2501, 140),(2563, 141),(2592, 142),(2687, 141),(2694, 140),(2701, 139),(2705, 138),(2709, 137),(2713, 136),(2717, 135),(2721, 134),(2724, 133),(2729, 132),(2737, 131),(2738, 130),(2738, 129),(2741, 128),(2746, 127),(2749, 126),(2752, 125)'}",1000.0,1.75,True,155
10.1,50.0,110.0,"{'time, angle': '(-994, 125),(-988, 126),(-980, 127),(-971, 128),(-964, 129),(-957, 130),(-950, 131),(-942, 132),(-936, 133),(-928, 134),(-924, 135),(-915, 136),(-911, 137),(-907, 138),(-902, 139),(-899, 140),(-894, 141),(-890, 142),(-885, 143),(-874, 144),(-873, 145),(-872, 146),(-869, 147),(-864, 148),(-859, 149),(-854, 150),(-848, 151),(-841, 152),(-833, 153),(-724, 152),(-711, 151),(-701, 150),(-694, 149),(-687, 148),(-682, 147),(-677, 146),(-674, 145),(-670, 144),(-666, 143),(-663, 142),(-660, 141),(-650, 140),(-649, 139),(-649, 138),(-648, 137),(-647, 136),(-645, 135),(-643, 134),(-640, 133),(-637, 132),(-633, 131),(-632, 130),(-630, 129),(-624, 128),(-624, 127),(-621, 126),(-619, 125),(-615, 124),(-612, 123),(-608, 122),(-604, 121),(-599, 120),(-589, 119),(-588, 118),(-584, 117),(-578, 116),(-571, 115),(-568, 114),(-564, 113),(-559, 112),(-554, 111),(-550, 110),(-545, 109),(-541, 108),(-537, 107),(-531, 106),(-530, 105),(-527, 104),(-524, 103),(-521, 102),(-518, 101),(-515, 100),(-512, 99),(-507, 98),(-504, 97),(-503, 96),(-499, 95),(-495, 94),(-492, 93),(-488, 92),(-484, 91),(-480, 90),(-475, 89),(-470, 88),(-467, 87),(-463, 86),(-458, 85),(-452, 84),(-446, 83),(-442, 82),(-438, 81),(-433, 80),(-428, 79),(-423, 78),(-420, 77),(-410, 76),(-409, 75),(-409, 74),(-405, 73),(-400, 72),(-397, 71),(-395, 70),(-393, 69),(-389, 68),(-386, 67),(-384, 66),(-381, 65),(-377, 64),(-375, 63),(-373, 62),(-370, 61),(-367, 60),(-364, 59),(-360, 58),(-351, 57),(-351, 56),(-350, 55),(-344, 54),(-340, 53),(-339, 52),(-333, 51),(-330, 50),(-326, 49),(-322, 48),(-317, 47),(-313, 46),(-308, 45),(-303, 44),(-291, 43),(-290, 42),(-290, 41),(-287, 40),(-281, 39),(-278, 38),(-275, 37),(-270, 36),(-267, 35),(-264, 34),(-259, 33),(-255, 32),(-250, 31),(-245, 30),(-236, 29),(-231, 28),(-225, 27),(-216, 26),(-199, 25),(-103, 26),(-90, 27),(-82, 28),(-76, 29),(-66, 30),(-65, 31),(-62, 32),(-56, 33),(-55, 34),(-52, 35),(-48, 36),(-45, 37),(-42, 38),(-39, 39),(-36, 40),(-34, 41),(-31, 42),(-29, 43),(-26, 44),(-23, 45),(-21, 46),(-18, 47),(-15, 48),(-12, 49),(-2, 50),(-1, 51),(0, 52),(0, 53),(0, 54),(1, 55),(3, 56),(5, 57),(7, 58),(10, 59),(11, 60),(14, 61),(16, 62),(18, 63),(23, 64),(23, 65),(26, 66),(27, 67),(30, 68),(32, 69),(34, 70),(37, 71),(39, 72),(42, 73),(44, 74),(47, 75),(49, 76),(52, 77),(54, 78),(57, 79),(60, 80),(62, 81),(70, 82),(73, 83),(73, 84),(73, 85),(74, 86),(75, 87),(78, 88),(82, 89),(83, 90),(85, 91),(88, 92),(93, 93),(94, 94),(97, 95),(100, 96),(103, 97),(107, 98),(110, 99),(114, 100),(118, 101),(122, 102),(126, 103),(137, 104),(137, 105),(141, 106),(148, 107),(155, 108),(164, 109),(182, 110),(255, 109),(267, 108),(279, 107),(297, 106),(306, 105),(311, 104),(318, 103),(324, 102),(329, 101),(335, 100),(339, 99),(351, 98),(351, 97),(352, 96),(358, 95),(362, 94),(365, 93),(369, 92),(372, 91),(376, 90),(379, 89),(383, 88),(386, 87),(389, 86),(393, 85),(397, 84),(400, 83),(409, 82),(411, 81),(414, 80),(414, 79),(419, 78),(425, 77),(427, 76),(433, 75),(436, 74),(440, 73),(444, 72),(449, 71),(453, 70),(458, 69),(468, 68),(469, 67),(472, 66),(476, 65),(481, 64),(487, 63),(492, 62),(497, 61),(503, 60),(511, 59),(527, 58),(528, 57),(536, 56),(546, 55),(554, 54),(564, 53),(579, 52),(586, 51),(596, 50),(611, 49),(665, 50),(675, 51),(684, 52),(691, 53),(694, 54),(697, 55),(702, 56),(704, 57),(708, 58),(711, 59),(713, 60),(716, 61),(719, 62),(721, 63),(724, 64),(726, 65),(729, 66),(731, 67),(734, 68),(735, 69),(738, 70),(747, 71),(748, 72),(749, 73),(749, 74),(749, 75),(750, 76),(751, 77),(753, 78),(758, 79),(758, 80),(761, 81),(763, 82),(765, 83),(770, 84),(771, 85),(774, 86),(775, 87),(778, 88),(780, 89),(783, 90),(786, 91),(789, 92),(792, 93),(795, 94),(799, 95),(802, 96),(808, 97),(809, 98),(812, 99),(816, 100),(820, 101),(826, 102),(829, 103),(832, 104),(836, 105),(841, 106),(845, 107),(850, 108),(855, 109),(860, 110),(865, 111),(871, 112),(874, 113),(880, 114),(884, 115),(891, 116),(894, 117),(899, 118),(904, 119),(910, 120),(915, 121),(922, 122),(928, 123),(934, 124),(941, 125),(947, 126),(954, 127),(961, 128),(968, 129),(976, 130),(992, 131),(994, 132),(1005, 133),(1020, 134),(1038, 135),(1067, 136),(1104, 137),(1146, 138),(1198, 139),(1269, 140),(1372, 139),(1386, 138),(1393, 137),(1400, 136),(1406, 135),(1414, 134),(1417, 133),(1423, 132),(1426, 131),(1430, 130),(1435, 129),(1438, 128),(1441, 127),(1446, 126),(1449, 125),(1452, 124),(1456, 123),(1459, 122),(1463, 121),(1467, 120),(1472, 119),(1482, 118),(1483, 117),(1484, 116),(1491, 115),(1494, 114),(1501, 113),(1509, 112),(1547, 111),(1598, 112),(1613, 113),(1625, 114),(1642, 115),(1646, 116),(1656, 117),(1665, 118),(1674, 119),(1682, 120),(1692, 121),(1698, 122),(1705, 123),(1712, 124),(1719, 125),(1728, 126),(1737, 127),(1755, 128),(1759, 129),(1773, 130),(1790, 131),(1816, 132),(1873, 133),(1944, 134),(2110, 135),(2156, 136),(2199, 137),(2234, 138),(2280, 139),(2301, 140),(2320, 141),(2348, 142),(2376, 143),(2404, 144),(2443, 145),(2804, 144),(2839, 143),(2859, 142),(2877, 141),(2896, 140),(2927, 139)'}",1100.0,1.96,True,153
15.04,50.0,120.0,"{'time, angle': '(-972, 74),(-972, 73),(-971, 72),(-969, 71),(-964, 70),(-961, 69),(-957, 68),(-953, 67),(-949, 66),(-944, 65),(-939, 64),(-934, 63),(-928, 62),(-921, 61),(-912, 60),(-908, 59),(-900, 58),(-892, 57),(-886, 56),(-880, 55),(-875, 54),(-869, 53),(-860, 52),(-860, 51),(-858, 50),(-852, 49),(-851, 48),(-849, 47),(-846, 46),(-841, 45),(-840, 44),(-838, 43),(-837, 42),(-833, 41),(-832, 40),(-829, 39),(-828, 38),(-826, 37),(-823, 36),(-821, 35),(-819, 34),(-816, 33),(-814, 32),(-811, 31),(-809, 30),(-806, 29),(-803, 28),(-795, 27),(-794, 26),(-793, 25),(-792, 24),(-790, 23),(-787, 22),(-781, 21),(-780, 20),(-776, 19),(-770, 18),(-768, 17),(-762, 16),(-722, 15),(-704, 14),(-684, 13),(-631, 12),(-616, 11),(-608, 10),(-600, 9),(-593, 8),(-586, 7),(-578, 6),(-577, 5),(-572, 4),(-568, 3),(-564, 2),(-558, 1),(-556, 0),(-246, 1),(-237, 2),(-231, 3),(-225, 4),(-220, 5),(-217, 6),(-210, 7),(-209, 8),(-206, 9),(-204, 10),(-201, 11),(-196, 12),(-193, 13),(-191, 14),(-186, 15),(-183, 16),(-178, 17),(-176, 18),(-172, 19),(-168, 20),(-164, 21),(-159, 22),(-154, 23),(-144, 24),(-143, 25),(-140, 26),(-135, 27),(-131, 28),(-125, 29),(-122, 30),(-117, 31),(-112, 32),(-107, 33),(-102, 34),(-96, 35),(-84, 36),(-83, 37),(-79, 38),(-72, 39),(-65, 40),(-62, 41),(-56, 42),(-50, 43),(-44, 44),(-38, 45),(-26, 46),(-25, 47),(-17, 48),(-8, 49),(-1, 50),(8, 51),(20, 52),(39, 53),(61, 54),(84, 55),(102, 56),(117, 57),(135, 58),(146, 59),(159, 60),(172, 61),(192, 62),(209, 63),(233, 64),(249, 65),(265, 66),(284, 67),(304, 68),(317, 69),(331, 70),(350, 71),(383, 72),(419, 73),(453, 74),(606, 73),(621, 72),(636, 71),(661, 70),(672, 69),(687, 68),(698, 67),(707, 66),(714, 65),(719, 64),(726, 63),(729, 62),(737, 61),(740, 60),(746, 59),(753, 58),(761, 57),(768, 56),(777, 55),(782, 54),(790, 53),(797, 52),(807, 51),(814, 50),(834, 49),(846, 48),(867, 47),(891, 46),(912, 45),(934, 44),(953, 43),(976, 42),(1115, 43),(1126, 44),(1135, 45),(1144, 46),(1154, 47),(1162, 48),(1166, 49),(1173, 50),(1179, 51),(1185, 52),(1191, 53),(1200, 54),(1207, 55),(1213, 56),(1219, 57),(1227, 58),(1235, 59),(1244, 60),(1253, 61),(1264, 62),(1274, 63),(1286, 64),(1297, 65),(1315, 66),(1332, 67),(1372, 68),(1465, 67),(1476, 66),(1480, 65),(1487, 64),(1491, 63),(1497, 62),(1502, 61),(1507, 60),(1513, 59),(1520, 58),(1530, 57),(1530, 56),(1537, 55),(1540, 54),(1547, 53),(1550, 52),(1555, 51),(1559, 50),(1563, 49),(1567, 48),(1573, 47),(1579, 46),(1588, 45),(1679, 46),(1697, 47),(1710, 48),(1719, 49),(1727, 50),(1734, 51),(1742, 52),(1752, 53),(1753, 54),(1761, 55),(1765, 56),(1772, 57),(1774, 58),(1780, 59),(1785, 60),(1790, 61),(1797, 62),(1802, 63),(1813, 64),(1814, 65),(1818, 66),(1824, 67),(1831, 68),(1835, 69),(1843, 70),(1850, 71),(1861, 72),(1873, 73),(1957, 72),(1965, 71),(1979, 70),(1980, 69),(1981, 68),(1985, 67),(1991, 66),(1994, 65),(1999, 64),(2002, 63),(2004, 62),(2008, 61),(2011, 60),(2014, 59),(2017, 58),(2020, 57),(2024, 56),(2027, 55),(2031, 54),(2041, 53),(2042, 52),(2043, 51),(2043, 50),(2045, 49),(2048, 48),(2051, 47),(2055, 46),(2058, 45),(2062, 44),(2065, 43),(2067, 42),(2071, 41),(2075, 40),(2080, 39),(2084, 38),(2089, 37),(2101, 36),(2105, 35),(2177, 36),(2188, 37),(2196, 38),(2207, 39),(2208, 40),(2214, 41),(2217, 42),(2224, 43),(2227, 44),(2230, 45),(2234, 46),(2238, 47),(2242, 48),(2246, 49),(2251, 50),(2256, 51),(2259, 52),(2266, 53),(2270, 54),(2273, 55),(2278, 56),(2283, 57),(2288, 58),(2292, 59),(2298, 60),(2303, 61),(2308, 62),(2315, 63),(2323, 64),(2330, 65),(2335, 66),(2343, 67),(2353, 68),(2368, 69),(2427, 68),(2434, 67),(2440, 66),(2444, 65),(2449, 64),(2452, 63),(2456, 62),(2459, 61),(2462, 60),(2464, 59),(2467, 58),(2470, 57),(2473, 56),(2474, 55),(2477, 54),(2479, 53),(2483, 52),(2491, 51),(2492, 50),(2492, 49),(2492, 48),(2493, 47),(2495, 46),(2500, 45),(2501, 44),(2502, 43),(2504, 42),(2505, 41),(2507, 40),(2512, 39),(2512, 38),(2513, 37),(2516, 36),(2517, 35),(2519, 34),(2521, 33),(2523, 32),(2525, 31),(2526, 30),(2528, 29),(2530, 28),(2532, 27),(2534, 26),(2536, 25),(2538, 24),(2539, 23),(2543, 22),(2545, 21),(2546, 20),(2552, 19),(2553, 18),(2553, 17),(2553, 16),(2555, 15),(2557, 14),(2561, 13),(2561, 12),(2564, 11),(2566, 10),(2568, 9),(2572, 8),(2574, 7),(2576, 6),(2579, 5),(2583, 4),(2587, 3),(2592, 2),(2601, 1),(2697, 2),(2713, 3),(2717, 4),(2722, 5),(2728, 6),(2731, 7),(2736, 8),(2739, 9),(2742, 10),(2745, 11),(2748, 12),(2751, 13),(2754, 14),(2756, 15),(2759, 16),(2761, 17),(2764, 18),(2767, 19),(2769, 20),(2779, 21),(2780, 22),(2780, 23),(2781, 24),(2781, 25),(2782, 26),(2785, 27),(2787, 28),(2790, 29),(2791, 30),(2794, 31),(2796, 32),(2798, 33),(2802, 34),(2802, 35),(2805, 36),(2808, 37),(2810, 38),(2813, 39),(2816, 40),(2819, 41),(2822, 42),(2825, 43),(2828, 44),(2831, 45),(2835, 46),(2847, 47),(2848, 48),(2848, 49),(2850, 50),(2856, 51),(2859, 52),(2863, 53),(2870, 54),(2874, 55),(2880, 56),(2887, 57),(2895, 58),(2904, 59),(2918, 60),(2983, 59),(2990, 58),(2994, 57),(2998, 56),(3001, 55),(3005, 54),(3007, 53),(3010, 52),(3011, 51),(3014, 50),(3020, 49),(3021, 48),(3022, 47),(3022, 46),(3023, 45),(3025, 44),(3027, 43),(3031, 42),(3031, 41),(3034, 40),(3035, 39),(3036, 38),(3038, 37),(3039, 36),(3043, 35),(3044, 34),(3045, 33),(3047, 32),(3048, 31),(3050, 30),(3051, 29),(3053, 28),(3055, 27),(3056, 26),(3058, 25),(3059, 24),(3061, 23),(3063, 22),(3064, 21),(3066, 20),(3067, 19),(3069, 18),(3071, 17),(3072, 16),(3074, 15),(3075, 14),(3078, 13),(3080, 12),(3081, 11),(3082, 10),(3084, 9),(3092, 8),(3093, 7),(3094, 6),(3094, 5),(3094, 4),(3094, 3),(3096, 2),(3099, 1),(3102, 0),(3168, 1),(3176, 2),(3182, 3),(3187, 4),(3191, 5),(3196, 6),(3206, 7),(3207, 8),(3207, 9),(3209, 10),(3212, 11),(3216, 12),(3219, 13),(3220, 14),(3222, 15),(3227, 16),(3228, 17),(3230, 18),(3233, 19),(3235, 20),(3238, 21),(3241, 22),(3243, 23),(3246, 24),(3249, 25),(3252, 26),(3254, 27),(3257, 28),(3261, 29),(3272, 30),(3272, 31),(3273, 32),(3273, 33),(3275, 34),(3278, 35),(3282, 36),(3285, 37),(3288, 38),(3293, 39),(3296, 40),(3299, 41),(3303, 42),(3307, 43),(3312, 44),(3316, 45),(3322, 46),(3328, 47),(3333, 48),(3337, 49),(3345, 50),(3348, 51),(3355, 52),(3359, 53),(3365, 54),(3371, 55),(3377, 56),(3383, 57),(3391, 58),(3398, 59),(3404, 60),(3411, 61),(3418, 62),(3426, 63),(3434, 64),(3450, 65),(3452, 66),(3464, 67),(3478, 68),(3493, 69),(3513, 70),(3541, 71),(3563, 72),(3576, 73),(3586, 74),(3595, 75),(3606, 76),(3610, 77),(3617, 78),(3626, 79),(3633, 80),(3641, 81),(3650, 82),(3664, 83),(3668, 84),(3677, 85),(3686, 86),(3695, 87),(3707, 88),(3716, 89),(3726, 90),(3736, 91),(3744, 92),(3755, 93),(3766, 94),(3782, 95),(3801, 96),(3950, 95),(3958, 94),(3966, 93),(3974, 92),(3986, 91),(3987, 90),(3992, 89),(3998, 88),(4005, 87),(4009, 86),(4015, 85),(4020, 84),(4025, 83),(4030, 82),(4035, 81),(4045, 80),(4046, 79),(4054, 78),(4058, 77),(4069, 76),(4087, 75),(4110, 74),(4366, 73),(4378, 72),(4388, 71),(4399, 70),(4412, 69),(4430, 68),(4455, 67),(4542, 66),(4601, 65),(4628, 64),(4637, 63),(4647, 62),(4655, 61),(4664, 60),(4673, 59),(4683, 58),(4774, 59),(4784, 60),(4794, 61),(4801, 62),(4806, 63),(4812, 64),(4818, 65),(4824, 66),(4832, 67),(4835, 68),(4841, 69),(4848, 70),(4854, 71),(4863, 72),(4868, 73),(4877, 74),(4885, 75),(4898, 76),(4905, 77),(4911, 78),(4921, 79),(4933, 80),(4952, 81),(4978, 82),(5082, 81),(5092, 80),(5101, 79),(5108, 78),(5120, 77),(5122, 76),(5129, 75),(5139, 74),(5144, 73),(5154, 72),(5164, 71),(5180, 70),(5186, 69),(5198, 68),(5208, 67),(5219, 66),(5237, 65),(5246, 64),(5260, 63),(5293, 62),(5369, 63),(5385, 64),(5399, 65),(5410, 66),(5423, 67),(5444, 68),(5477, 69),(5674, 70),(5722, 71),(5743, 72),(5767, 73),(5786, 74),(5810, 75),(5870, 76)'}",1200.0,5.01,False,139
