start_time,init_thresh,hit_thresh,Force,hold_time,duration,success,peak
2.07,50.0,100.0,"{'time, angle': '(-606, 1),(-598, 2),(-593, 3),(-587, 4),(-583, 5),(-579, 6),(-576, 7),(-573, 8),(-570, 9),(-567, 10),(-563, 11),(-556, 12),(-555, 13),(-555, 14),(-550, 15),(-549, 16),(-546, 17),(-543, 18),(-539, 19),(-537, 20),(-534, 21),(-530, 22),(-526, 23),(-522, 24),(-517, 25),(-512, 26),(-506, 27),(-497, 28),(-495, 29),(-485, 30),(-463, 31),(-409, 30),(-392, 29),(-380, 28),(-365, 27),(-321, 26),(-309, 25),(-300, 24),(-289, 23),(-286, 22),(-277, 21),(-271, 20),(-261, 19),(-252, 18),(-233, 17),(-188, 16),(-146, 17),(-137, 18),(-128, 19),(-125, 20),(-122, 21),(-116, 22),(-113, 23),(-110, 24),(-106, 25),(-103, 26),(-99, 27),(-95, 28),(-93, 29),(-89, 30),(-86, 31),(-82, 32),(-78, 33),(-72, 34),(-71, 35),(-65, 36),(-63, 37),(-57, 38),(-54, 39),(-51, 40),(-45, 41),(-40, 42),(-36, 43),(-30, 44),(-25, 45),(-19, 46),(-13, 47),(-9, 48),(-4, 49),(-1, 50),(5, 51),(6, 52),(9, 53),(13, 54),(16, 55),(19, 56),(24, 57),(25, 58),(29, 59),(32, 60),(35, 61),(37, 62),(41, 63),(43, 64),(46, 65),(50, 66),(52, 67),(62, 68),(63, 69),(63, 70),(63, 71),(65, 72),(67, 73),(71, 74),(74, 75),(76, 76),(81, 77),(82, 78),(84, 79),(87, 80),(90, 81),(93, 82),(95, 83),(97, 84),(100, 85),(103, 86),(106, 87),(108, 88),(118, 89),(118, 90),(119, 91),(119, 92),(122, 93),(126, 94),(127, 95),(130, 96),(132, 97),(137, 98),(137, 99),(140, 100),(145, 101),(145, 102),(149, 103),(151, 104),(153, 105),(156, 106),(158, 107),(161, 108),(164, 109),(166, 110),(171, 111),(172, 112),(178, 113),(178, 114),(183, 115),(183, 116),(186, 117),(191, 118),(194, 119),(197, 120),(201, 121),(204, 122),(209, 123),(213, 124),(216, 125),(220, 126),(224, 127),(228, 128),(234, 129),(237, 130),(239, 131),(244, 132),(247, 133),(250, 134),(254, 135),(257, 136),(261, 137),(265, 138),(269, 139),(273, 140),(277, 141),(282, 142),(287, 143),(293, 144),(296, 145),(301, 146),(307, 147),(310, 148),(317, 149),(321, 150),(325, 151),(330, 152),(336, 153),(348, 154),(350, 155),(360, 156),(374, 157),(403, 158),(480, 157),(518, 156),(548, 155),(566, 154),(579, 153),(590, 152),(605, 151),(613, 150),(620, 149),(630, 148),(637, 147),(648, 146),(657, 145),(665, 144),(674, 143),(682, 142),(690, 141),(699, 140),(715, 139),(720, 138),(737, 137),(765, 136),(804, 135),(864, 134),(1129, 135),(1142, 136),(1157, 137),(1172, 138),(1192, 139),(1221, 140),(1868, 139),(1930, 138),(1960, 137),(1987, 136),(2017, 135),(2049, 134),(2073, 133),(2091, 132),(2106, 131),(2120, 130),(2131, 129)'}",1000.0,1.14,True,158
5.86,50.0,110.0,"{'time, angle': '(-637, 8),(-637, 7),(-634, 6),(-633, 5),(-629, 4),(-628, 3),(-625, 2),(-624, 1),(-622, 0),(-269, 1),(-260, 2),(-252, 3),(-243, 4),(-242, 5),(-235, 6),(-232, 7),(-229, 8),(-225, 9),(-221, 10),(-217, 11),(-213, 12),(-209, 13),(-205, 14),(-201, 15),(-197, 16),(-192, 17),(-182, 18),(-181, 19),(-180, 20),(-176, 21),(-170, 22),(-168, 23),(-163, 24),(-160, 25),(-155, 26),(-150, 27),(-146, 28),(-138, 29),(-129, 30),(-128, 31),(-126, 32),(-121, 33),(-115, 34),(-109, 35),(-104, 36),(-98, 37),(-91, 38),(-82, 39),(-73, 40),(-67, 41),(-59, 42),(-47, 43),(-40, 44),(-32, 45),(-19, 46),(-19, 47),(-13, 48),(-7, 49),(0, 50),(3, 51),(9, 52),(14, 53),(20, 54),(25, 55),(31, 56),(39, 57),(45, 58),(49, 59),(55, 60),(62, 61),(70, 62),(78, 63),(84, 64),(92, 65),(101, 66),(108, 67),(114, 68),(121, 69),(128, 70),(135, 71),(143, 72),(151, 73),(159, 74),(170, 75),(183, 76),(199, 77),(279, 76),(288, 75),(295, 74),(303, 73),(314, 72),(314, 71),(319, 70),(324, 69),(329, 68),(333, 67),(340, 66),(342, 65),(346, 64),(350, 63),(354, 62),(358, 61),(363, 60),(365, 59),(371, 58),(372, 57),(377, 56),(379, 55),(385, 54),(388, 53),(391, 52),(396, 51),(399, 50),(404, 49),(409, 48),(415, 47),(423, 46),(432, 45),(442, 44),(472, 43),(514, 44),(530, 45),(538, 46),(545, 47),(552, 48),(559, 49),(562, 50),(567, 51),(572, 52),(576, 53),(580, 54),(585, 55),(588, 56),(598, 57),(599, 58),(601, 59),(603, 60),(610, 61),(613, 62),(615, 63),(620, 64),(623, 65),(628, 66),(632, 67),(636, 68),(641, 69),(646, 70),(651, 71),(657, 72),(660, 73),(665, 74),(671, 75),(674, 76),(681, 77),(684, 78),(689, 79),(694, 80),(700, 81),(709, 82),(718, 83),(723, 84),(733, 85),(744, 86),(758, 87),(775, 88),(786, 89),(799, 90),(812, 91),(830, 92),(895, 91),(906, 90),(914, 89),(920, 88),(927, 87),(933, 86),(938, 85),(944, 84),(951, 83),(955, 82),(963, 81),(967, 80),(972, 79),(978, 78),(986, 77),(988, 76),(994, 75),(998, 74),(1004, 73),(1011, 72),(1015, 71),(1018, 70),(1023, 69),(1029, 68),(1035, 67),(1045, 66),(1047, 65),(1056, 64),(1070, 63),(1136, 64),(1148, 65),(1156, 66),(1163, 67),(1169, 68),(1174, 69),(1179, 70),(1183, 71),(1187, 72),(1191, 73),(1195, 74),(1200, 75),(1203, 76),(1204, 77),(1209, 78),(1213, 79),(1214, 80),(1221, 81),(1222, 82),(1228, 83),(1232, 84),(1235, 85),(1239, 86),(1245, 87),(1250, 88),(1262, 89),(1263, 90),(1268, 91),(1274, 92),(1281, 93),(1285, 94),(1292, 95),(1297, 96),(1303, 97),(1315, 98),(1316, 99),(1323, 100),(1332, 101),(1340, 102),(1351, 103),(1368, 104),(1379, 105),(1400, 106),(1459, 105),(1469, 104),(1477, 103),(1480, 102),(1485, 101),(1489, 100),(1496, 99),(1497, 98),(1503, 97),(1505, 96),(1508, 95),(1512, 94),(1515, 93),(1519, 92),(1522, 91),(1526, 90),(1537, 89),(1538, 88),(1538, 87),(1538, 86),(1540, 85),(1543, 84),(1547, 83),(1550, 82),(1551, 81),(1553, 80),(1556, 79),(1559, 78),(1562, 77),(1563, 76),(1567, 75),(1567, 74),(1569, 73),(1572, 72),(1573, 71),(1575, 70),(1578, 69),(1580, 68),(1582, 67),(1584, 66),(1586, 65),(1588, 64),(1591, 63),(1593, 62),(1594, 61),(1597, 60),(1598, 59),(1602, 58),(1603, 57),(1605, 56),(1607, 55),(1608, 54),(1611, 53),(1615, 52),(1615, 51),(1618, 50),(1620, 49),(1626, 48),(1626, 47),(1630, 46),(1633, 45),(1637, 44),(1641, 43),(1645, 42),(1650, 41),(1656, 40),(1662, 39),(1667, 38),(1671, 37),(1676, 36),(1681, 35),(1687, 34),(1690, 33),(1694, 32),(1697, 31),(1702, 30),(1705, 29),(1709, 28),(1713, 27),(1716, 26),(1728, 25),(1729, 24),(1729, 23),(1732, 22),(1738, 21),(1740, 20),(1743, 19),(1748, 18),(1752, 17),(1757, 16),(1762, 15),(1768, 14),(1774, 13),(1787, 12),(1789, 11),(1799, 10),(1809, 9),(1821, 8),(1834, 7),(1852, 6),(1920, 7),(1931, 8),(1939, 9),(1949, 10),(1952, 11),(1954, 12),(1958, 13),(1962, 14),(1965, 15),(1969, 16),(1972, 17),(1975, 18),(1977, 19),(1981, 20),(1983, 21),(1986, 22),(1988, 23),(1991, 24),(1993, 25),(1996, 26),(1998, 27),(2002, 28),(2010, 29),(2010, 30),(2011, 31),(2011, 32),(2012, 33),(2015, 34),(2019, 35),(2019, 36),(2022, 37),(2024, 38),(2026, 39),(2030, 40),(2031, 41),(2033, 42),(2035, 43),(2038, 44),(2040, 45),(2042, 46),(2045, 47),(2048, 48),(2050, 49),(2052, 50),(2055, 51),(2058, 52),(2060, 53),(2063, 54),(2065, 55),(2071, 56),(2071, 57),(2074, 58),(2078, 59),(2079, 60),(2082, 61),(2086, 62),(2089, 63),(2091, 64),(2097, 65),(2097, 66),(2100, 67),(2103, 68),(2106, 69),(2110, 70),(2113, 71),(2116, 72),(2120, 73),(2124, 74),(2127, 75),(2134, 76),(2136, 77),(2141, 78),(2147, 79),(2153, 80),(2161, 81),(2174, 82),(2220, 81),(2230, 80),(2239, 79),(2240, 78),(2244, 77),(2248, 76),(2251, 75),(2257, 74),(2258, 73),(2262, 72),(2266, 71),(2269, 70),(2272, 69),(2276, 68),(2279, 67),(2282, 66),(2286, 65),(2290, 64),(2301, 63),(2302, 62),(2303, 61),(2304, 60),(2307, 59),(2311, 58),(2314, 57),(2318, 56),(2322, 55),(2325, 54),(2328, 53),(2331, 52),(2335, 51),(2338, 50),(2342, 49),(2345, 48),(2350, 47),(2358, 46),(2359, 45),(2360, 44),(2366, 43),(2369, 42),(2373, 41),(2379, 40),(2385, 39),(2395, 38),(2484, 39),(2493, 40),(2501, 41),(2507, 42),(2515, 43),(2518, 44),(2523, 45),(2527, 46),(2531, 47),(2537, 48),(2540, 49),(2543, 50),(2547, 51),(2551, 52),(2555, 53),(2558, 54),(2562, 55),(2566, 56),(2569, 57),(2577, 58),(2578, 59),(2579, 60),(2582, 61),(2587, 62),(2591, 63),(2593, 64),(2598, 65),(2601, 66),(2604, 67),(2608, 68),(2612, 69),(2617, 70),(2621, 71),(2628, 72),(2637, 73),(2639, 74),(2648, 75),(2658, 76),(2714, 75),(2721, 74),(2727, 73),(2731, 72),(2737, 71),(2742, 70),(2750, 69),(2751, 68),(2751, 67),(2755, 66),(2760, 65),(2763, 64),(2766, 63),(2770, 62),(2773, 61),(2777, 60),(2781, 59),(2785, 58),(2789, 57),(2794, 56),(2799, 55),(2804, 54),(2811, 53),(2813, 52),(2817, 51),(2824, 50),(2828, 49),(2834, 48),(2841, 47),(2848, 46),(2857, 45),(2871, 44),(2879, 43),(2897, 42),(2931, 41),(2941, 40),(2958, 39),(2981, 38),(3022, 37),(3179, 38),(3200, 39),(3211, 40),(3220, 41),(3229, 42),(3240, 43),(3253, 44),(3269, 45),(3287, 46),(3306, 47),(3319, 48),(3340, 49),(3471, 48),(3482, 47),(3496, 46),(3512, 45),(3530, 44),(3551, 43),(3572, 42),(3594, 41),(3624, 40),(3769, 41),(3800, 42),(3874, 43),(4093, 42),(4139, 41),(4162, 40),(4198, 39),(4242, 38),(4258, 37),(4296, 36),(4469, 37),(4492, 38),(4508, 39),(4533, 40),(4566, 39),(4577, 38),(4586, 37),(4595, 36),(4598, 35),(4604, 34),(4608, 33),(4615, 32),(4618, 31),(4620, 30),(4623, 29),(4626, 28),(4628, 27),(4630, 26),(4633, 25),(4635, 24),(4637, 23),(4639, 22),(4640, 21),(4642, 20),(4644, 19),(4645, 18),(4647, 17),(4649, 16),(4651, 15),(4652, 14),(4662, 13),(4663, 12),(4663, 11),(4664, 10),(4664, 9),(4666, 8),(4674, 7),(4850, 8),(4890, 9),(4902, 10),(5158, 11),(5200, 12),(5343, 11),(5372, 10),(5406, 9),(5437, 8),(5452, 7),(5461, 6),(5469, 5),(5476, 4),(5483, 3),(5491, 2),(5500, 1),(5507, 0)'}",1100.0,5.0,False,128
13.61,50.0,110.0,"{'time, angle': '(-740, 8),(-733, 7),(-733, 6),(-726, 5),(-722, 4),(-720, 3),(-714, 2),(-710, 1),(-708, 0),(-533, 1),(-529, 2),(-524, 3),(-520, 4),(-517, 5),(-513, 6),(-509, 7),(-506, 8),(-503, 9),(-499, 10),(-495, 11),(-493, 12),(-490, 13),(-487, 14),(-484, 15),(-480, 16),(-475, 17),(-465, 18),(-464, 19),(-464, 20),(-460, 21),(-455, 22),(-449, 23),(-442, 24),(-434, 25),(-424, 26),(-409, 27),(-398, 28),(-385, 29),(-366, 30),(-345, 31),(-328, 32),(-316, 33),(-301, 34),(-285, 35),(-270, 36),(-251, 37),(-231, 38),(-214, 39),(-193, 40),(-175, 41),(-149, 42),(-118, 43),(-99, 44),(-83, 45),(-69, 46),(-55, 47),(-40, 48),(-22, 49),(-1, 50),(21, 51),(55, 52),(131, 51),(141, 50),(149, 49),(155, 48),(160, 47),(164, 46),(169, 45),(173, 44),(177, 43),(181, 42),(185, 41),(189, 40),(194, 39),(202, 38),(205, 37),(207, 36),(214, 35),(219, 34),(230, 33),(240, 32),(263, 31),(285, 30),(383, 31),(397, 32),(411, 33),(422, 34),(434, 35),(447, 36),(460, 37),(474, 38),(496, 39),(549, 38),(561, 37),(571, 36),(580, 35),(585, 34),(593, 33),(598, 32),(600, 31),(605, 30),(609, 29),(612, 28),(616, 27),(620, 26),(623, 25),(627, 24),(631, 23),(636, 22),(641, 21),(649, 20),(652, 19),(660, 18),(667, 17),(677, 16),(685, 15),(700, 14),(710, 13),(786, 14),(819, 15),(840, 16),(854, 17),(864, 18),(871, 19),(881, 20),(889, 21),(894, 22),(902, 23),(913, 24),(923, 25),(933, 26),(944, 27),(953, 28),(964, 29),(973, 30),(983, 31),(996, 32),(1007, 33),(1045, 34),(1137, 35),(1359, 36),(1558, 35),(1577, 34),(1603, 33),(1631, 32),(1657, 31),(1681, 30),(1696, 29),(1717, 28),(1748, 27),(1851, 28),(1885, 29),(1917, 30),(1993, 31),(2171, 30),(2337, 31),(2356, 32),(2373, 33),(2391, 34),(2411, 35),(2435, 36),(2624, 35),(2651, 34),(2662, 33),(2673, 32),(2684, 31),(2696, 30),(2705, 29),(2715, 28),(2724, 27),(2733, 26),(2738, 25),(2744, 24),(2749, 23),(2754, 22),(2759, 21),(2764, 20),(2768, 19),(2774, 18),(2778, 17),(2787, 16),(2791, 15),(2796, 14),(2804, 13),(2811, 12),(2824, 11),(2831, 10),(2844, 9),(2878, 8),(2900, 7),(2914, 6),(3002, 7),(3011, 8),(3019, 9),(3023, 10),(3029, 11),(3034, 12),(3039, 13),(3043, 14),(3048, 15),(3053, 16),(3056, 17),(3060, 18),(3065, 19),(3067, 20),(3071, 21),(3075, 22),(3078, 23),(3081, 24),(3084, 25),(3090, 26),(3091, 27),(3094, 28),(3098, 29),(3102, 30),(3106, 31),(3110, 32),(3114, 33),(3119, 34),(3123, 35),(3131, 36),(3132, 37),(3139, 38),(3141, 39),(3145, 40),(3152, 41),(3155, 42),(3161, 43),(3166, 44),(3169, 45),(3175, 46),(3181, 47),(3195, 48),(3198, 49),(3206, 50),(3218, 51),(3226, 52),(3235, 53),(3244, 54),(3254, 55),(3260, 56),(3267, 57),(3275, 58),(3283, 59),(3288, 60),(3294, 61),(3300, 62),(3305, 63),(3310, 64),(3316, 65),(3321, 66),(3324, 67),(3331, 68),(3332, 69),(3336, 70),(3340, 71),(3345, 72),(3347, 73),(3351, 74),(3355, 75),(3360, 76),(3361, 77),(3364, 78),(3368, 79),(3371, 80),(3375, 81),(3379, 82),(3386, 83),(3386, 84),(3391, 85),(3393, 86),(3396, 87),(3400, 88),(3404, 89),(3408, 90),(3413, 91),(3417, 92),(3422, 93),(3427, 94),(3428, 95),(3432, 96),(3437, 97),(3441, 98),(3446, 99),(3459, 100),(3460, 101),(3464, 102),(3473, 103),(3486, 104),(3503, 105),(3517, 106),(3529, 107),(3541, 108),(3552, 109),(3562, 110),(3575, 111),(3579, 112),(3587, 113),(3591, 114),(3599, 115),(3603, 116),(3607, 117),(3611, 118),(3616, 119),(3621, 120),(3626, 121),(3631, 122),(3641, 123),(3641, 124),(3647, 125),(3652, 126),(3657, 127),(3664, 128),(3669, 129),(3675, 130),(3680, 131),(3687, 132),(3694, 133),(3706, 134),(3712, 135),(3725, 136),(3813, 137),(3851, 138),(3890, 139),(3999, 138),(4009, 137),(4017, 136),(4027, 135),(4028, 134),(4031, 133),(4037, 132),(4039, 131),(4043, 130),(4049, 129),(4052, 128),(4055, 127),(4059, 126),(4063, 125),(4069, 124),(4075, 123),(4081, 122),(4092, 121),(4097, 120),(4105, 119),(4115, 118),(4122, 117),(4130, 116),(4138, 115),(4150, 114),(4298, 115),(4312, 116),(4326, 117),(4337, 118),(4350, 119),(4365, 120),(4378, 121),(4390, 122),(4403, 123),(4419, 124),(4436, 125),(4450, 126),(4468, 127),(4484, 128),(4503, 129),(4530, 130),(4605, 131),(5038, 130),(5052, 129),(5061, 128),(5071, 127),(5127, 126),(5268, 127),(5310, 128),(5347, 129),(5505, 128)'}",1100.0,4.66,True,139
