start_time,init_thresh,hit_thresh,Force,hold_time,duration,success,peak
3.33,50.0,100.0,"{'time, angle': '(-966, 1),(-943, 2),(-750, 1),(-700, 0),(-276, 1),(-262, 2),(-253, 3),(-247, 4),(-239, 5),(-232, 6),(-228, 7),(-221, 8),(-215, 9),(-207, 10),(-198, 11),(-189, 12),(-180, 13),(-171, 14),(-163, 15),(-154, 16),(-143, 17),(-142, 18),(-139, 19),(-134, 20),(-130, 21),(-124, 22),(-121, 23),(-116, 24),(-112, 25),(-110, 26),(-107, 27),(-103, 28),(-99, 29),(-89, 30),(-88, 31),(-87, 32),(-81, 33),(-78, 34),(-71, 35),(-68, 36),(-61, 37),(-55, 38),(-49, 39),(-43, 40),(-32, 41),(-31, 42),(-28, 43),(-22, 44),(-19, 45),(-13, 46),(-10, 47),(-5, 48),(-4, 49),(0, 50),(4, 51),(8, 52),(13, 53),(17, 54),(24, 55),(24, 56),(28, 57),(31, 58),(37, 59),(40, 60),(44, 61),(49, 62),(56, 63),(60, 64),(66, 65),(74, 66),(89, 67),(94, 68),(103, 69),(115, 70),(124, 71),(141, 72),(156, 73),(184, 74),(274, 73),(290, 72),(291, 71),(294, 70),(300, 69),(304, 68),(310, 67),(317, 66),(321, 65),(327, 64),(334, 63),(347, 62),(351, 61),(361, 60),(372, 59),(385, 58),(402, 57),(419, 56),(438, 55),(455, 54),(463, 53),(473, 52),(487, 51),(589, 52),(601, 53),(609, 54),(614, 55),(621, 56),(627, 57),(634, 58),(641, 59),(648, 60),(657, 61),(666, 62),(672, 63),(679, 64),(686, 65),(695, 66),(702, 67),(711, 68),(723, 69),(733, 70),(742, 71),(753, 72),(762, 73),(779, 74),(790, 75),(798, 76),(804, 77),(811, 78),(817, 79),(824, 80),(833, 81),(836, 82),(844, 83),(850, 84),(857, 85),(864, 86),(869, 87),(875, 88),(887, 89),(887, 90),(894, 91),(897, 92),(904, 93),(908, 94),(915, 95),(918, 96),(924, 97),(930, 98),(940, 99),(944, 100),(948, 101),(955, 102),(962, 103),(967, 104),(973, 105),(978, 106),(983, 107),(989, 108),(997, 109),(1000, 110),(1007, 111),(1013, 112),(1023, 113),(1033, 114),(1052, 115),(1067, 116),(1082, 117),(1090, 118),(1102, 119),(1108, 120),(1117, 121),(1128, 122),(1136, 123),(1148, 124),(1169, 125),(1188, 126),(1218, 127),(1281, 126),(1292, 125),(1307, 124),(1309, 123),(1319, 122),(1331, 121),(1344, 120),(1362, 119),(1371, 118),(1382, 117),(1390, 116),(1398, 115),(1408, 114),(1423, 113),(1540, 114),(1553, 115),(1569, 116),(1574, 117),(1583, 118),(1593, 119),(1601, 120),(1609, 121),(1623, 122),(1634, 123),(1673, 124),(1849, 125),(1911, 126),(1944, 127),(1973, 128),(1992, 129),(2016, 130),(2039, 131),(2057, 132),(2091, 133),(2231, 132),(2244, 131),(2251, 130),(2259, 129),(2268, 128),(2283, 127),(2284, 126),(2292, 125),(2296, 124),(2302, 123),(2307, 122),(2314, 121),(2318, 120),(2323, 119),(2330, 118),(2338, 117),(2341, 116),(2348, 115),(2361, 114),(2442, 115),(2452, 116),(2459, 117),(2466, 118),(2470, 119),(2476, 120),(2481, 121),(2486, 122),(2497, 123),(2501, 124),(2502, 125),(2509, 126),(2515, 127),(2522, 128),(2530, 129),(2540, 130),(2556, 131),(2607, 132),(2658, 133),(2698, 132),(2709, 131),(2716, 130),(2723, 129),(2732, 128),(2739, 127),(2748, 126),(2759, 125),(2773, 124),(2863, 125),(2902, 126),(2945, 127)'}",1000.0,1.95,True,133
9.55,50.0,110.0,"{'time, angle': '(-409, 0),(-383, 1),(-364, 2),(-346, 3),(-332, 4),(-318, 5),(-304, 6),(-291, 7),(-281, 8),(-270, 9),(-259, 10),(-249, 11),(-238, 12),(-223, 13),(-204, 14),(-187, 15),(-175, 16),(-165, 17),(-157, 18),(-149, 19),(-141, 20),(-133, 21),(-124, 22),(-121, 23),(-115, 24),(-109, 25),(-104, 26),(-96, 27),(-95, 28),(-89, 29),(-85, 30),(-82, 31),(-78, 32),(-74, 33),(-70, 34),(-66, 35),(-61, 36),(-59, 37),(-50, 38),(-49, 39),(-46, 40),(-42, 41),(-35, 42),(-32, 43),(-27, 44),(-23, 45),(-19, 46),(-14, 47),(-10, 48),(-6, 49),(-1, 50),(4, 51),(7, 52),(11, 53),(15, 54),(18, 55),(22, 56),(28, 57),(29, 58),(33, 59),(36, 60),(42, 61),(43, 62),(46, 63),(50, 64),(52, 65),(55, 66),(58, 67),(61, 68),(64, 69),(67, 70),(70, 71),(74, 72),(77, 73),(80, 74),(84, 75),(90, 76),(91, 77),(95, 78),(99, 79),(105, 80),(107, 81),(113, 82),(116, 83),(121, 84),(125, 85),(128, 86),(132, 87),(137, 88),(140, 89),(144, 90),(148, 91),(157, 92),(158, 93),(158, 94),(160, 95),(163, 96),(166, 97),(169, 98),(173, 99),(176, 100),(179, 101),(183, 102),(188, 103),(189, 104),(192, 105),(196, 106),(200, 107),(204, 108),(210, 109),(213, 110),(219, 111),(225, 112),(226, 113),(230, 114),(236, 115),(241, 116),(246, 117),(253, 118),(257, 119),(263, 120),(269, 121),(277, 122),(286, 123),(300, 124),(359, 123),(370, 122),(377, 121),(384, 120),(391, 119),(400, 118),(402, 117),(409, 116),(413, 115),(419, 114),(423, 113),(429, 112),(433, 111),(439, 110),(445, 109),(450, 108),(455, 107),(460, 106),(464, 105),(471, 104),(473, 103),(477, 102),(480, 101),(485, 100),(487, 99),(491, 98),(494, 97),(497, 96),(501, 95),(504, 94),(508, 93),(512, 92),(515, 91),(521, 90),(524, 89),(527, 88),(533, 87),(539, 86),(546, 85),(555, 84),(581, 83),(725, 84),(756, 85),(789, 86),(807, 87),(819, 88),(829, 89),(837, 90),(844, 91),(851, 92),(855, 93),(860, 94),(865, 95),(870, 96),(875, 97),(879, 98),(884, 99),(889, 100),(895, 101),(897, 102),(904, 103),(907, 104),(913, 105),(916, 106),(920, 107),(925, 108),(930, 109),(936, 110),(940, 111),(949, 112),(949, 113),(956, 114),(959, 115),(962, 116),(966, 117),(970, 118),(973, 119),(977, 120),(981, 121),(985, 122),(988, 123),(991, 124),(996, 125),(999, 126),(1008, 127),(1009, 128),(1010, 129),(1013, 130),(1018, 131),(1021, 132),(1025, 133),(1030, 134),(1034, 135),(1038, 136),(1042, 137),(1047, 138),(1051, 139),(1056, 140),(1064, 141),(1065, 142),(1071, 143),(1074, 144),(1080, 145),(1083, 146),(1088, 147),(1093, 148),(1098, 149),(1103, 150),(1111, 151),(1116, 152),(1124, 153),(1131, 154),(1137, 155),(1146, 156),(1156, 157),(1164, 158),(1178, 159),(1180, 160),(1187, 161),(1192, 162),(1200, 163),(1205, 164),(1211, 165),(1218, 166),(1227, 167),(1236, 168),(1245, 169),(1252, 170),(1263, 171),(1277, 172),(1290, 173),(1304, 174),(1318, 175),(1337, 176),(1385, 175),(1397, 174),(1406, 173),(1413, 172),(1419, 171),(1425, 170),(1434, 169),(1435, 168),(1439, 167),(1444, 166),(1448, 165),(1451, 164),(1456, 163),(1459, 162),(1463, 161),(1466, 160),(1470, 159),(1473, 158),(1477, 157),(1480, 156),(1486, 155),(1488, 154),(1496, 153),(1497, 152),(1499, 151),(1506, 150),(1509, 149),(1514, 148),(1516, 147),(1520, 146),(1525, 145),(1529, 144),(1534, 143),(1540, 142),(1552, 141),(1555, 140),(1574, 139),(1636, 140),(1658, 141),(1675, 142),(1690, 143),(1700, 144),(1711, 145),(1718, 146),(1726, 147),(1733, 148),(1741, 149),(1751, 150),(1755, 151),(1762, 152),(1769, 153),(1774, 154),(1781, 155),(1787, 156),(1800, 157),(1801, 158),(1807, 159),(1813, 160),(1820, 161),(1827, 162),(1836, 163),(1853, 164),(1857, 165),(1873, 166),(1906, 167),(1967, 166),(1981, 165),(1994, 164),(1998, 163),(2005, 162),(2013, 161),(2022, 160),(2034, 159),(2129, 160),(2151, 161),(2163, 162),(2176, 163),(2193, 164),(2197, 165),(2209, 166),(2216, 167),(2225, 168),(2232, 169),(2239, 170),(2248, 171),(2251, 172),(2258, 173),(2266, 174),(2275, 175),(2285, 176),(2301, 177),(2313, 178),(2332, 179),(2352, 180),(2363, 181),(2374, 182),(2386, 183),(2398, 184),(2412, 185),(2494, 184),(2507, 183),(2516, 182),(2523, 181),(2529, 180),(2534, 179),(2539, 178),(2543, 177),(2549, 176),(2558, 175),(2559, 174),(2559, 173),(2563, 172),(2568, 171),(2571, 170),(2575, 169),(2579, 168),(2584, 167),(2587, 166),(2591, 165),(2595, 164),(2599, 163),(2603, 162),(2608, 161),(2615, 160),(2618, 159),(2619, 158),(2622, 157),(2627, 156),(2630, 155),(2635, 154),(2639, 153),(2643, 152),(2648, 151),(2653, 150),(2659, 149),(2665, 148),(2673, 147),(2678, 146),(2685, 145),(2695, 144),(2707, 143),(2732, 142),(2820, 143),(2840, 144),(2855, 145),(2868, 146),(2879, 147),(2888, 148),(2897, 149),(2904, 150),(2911, 151),(2918, 152),(2922, 153),(2927, 154),(2932, 155),(2935, 156),(2939, 157),(2943, 158),(2947, 159),(2950, 160),(2954, 161),(2958, 162),(2962, 163),(2966, 164),(2975, 165),(2976, 166),(2977, 167),(2980, 168),(2985, 169),(2988, 170),(2993, 171),(2997, 172),(3002, 173),(3007, 174),(3012, 175),(3020, 176),(3028, 177),(3030, 178),(3035, 179),(3042, 180),(3046, 181)'}",1100.0,2.04,True,185
14.47,50.0,120.0,"{'time, angle': '(-998, 96),(-996, 95),(-994, 94),(-992, 93),(-989, 92),(-987, 91),(-985, 90),(-978, 89),(-977, 88),(-977, 87),(-977, 86),(-975, 85),(-973, 84),(-968, 83),(-968, 82),(-967, 81),(-964, 80),(-962, 79),(-959, 78),(-958, 77),(-955, 76),(-953, 75),(-951, 74),(-948, 73),(-946, 72),(-943, 71),(-941, 70),(-937, 69),(-935, 68),(-932, 67),(-928, 66),(-925, 65),(-918, 64),(-917, 63),(-916, 62),(-913, 61),(-909, 60),(-906, 59),(-902, 58),(-899, 57),(-895, 56),(-892, 55),(-890, 54),(-887, 53),(-884, 52),(-881, 51),(-879, 50),(-876, 49),(-872, 48),(-870, 47),(-868, 46),(-861, 45),(-859, 44),(-859, 43),(-859, 42),(-857, 41),(-854, 40),(-851, 39),(-850, 38),(-847, 37),(-845, 36),(-842, 35),(-839, 34),(-838, 33),(-836, 32),(-834, 31),(-832, 30),(-830, 29),(-827, 28),(-825, 27),(-823, 26),(-820, 25),(-818, 24),(-816, 23),(-813, 22),(-811, 21),(-808, 20),(-806, 19),(-803, 18),(-800, 17),(-795, 16),(-795, 15),(-793, 14),(-787, 13),(-787, 12),(-784, 11),(-781, 10),(-778, 9),(-775, 8),(-772, 7),(-769, 6),(-766, 5),(-763, 4),(-761, 3),(-757, 2),(-755, 1),(-752, 0),(-749, -1),(-260, 0),(-243, 1),(-227, 2),(-217, 3),(-207, 4),(-197, 5),(-186, 6),(-180, 7),(-173, 8),(-164, 9),(-156, 10),(-149, 11),(-141, 12),(-131, 13),(-129, 14),(-124, 15),(-118, 16),(-111, 17),(-108, 18),(-104, 19),(-99, 20),(-95, 21),(-91, 22),(-87, 23),(-82, 24),(-79, 25),(-69, 26),(-68, 27),(-68, 28),(-65, 29),(-61, 30),(-57, 31),(-55, 32),(-50, 33),(-47, 34),(-45, 35),(-42, 36),(-39, 37),(-36, 38),(-32, 39),(-29, 40),(-26, 41),(-23, 42),(-20, 43),(-17, 44),(-14, 45),(-6, 46),(-5, 47),(-5, 48),(-3, 49),(-1, 50),(5, 51),(5, 52),(8, 53),(11, 54),(15, 55),(16, 56),(18, 57),(21, 58),(23, 59),(26, 60),(29, 61),(31, 62),(34, 63),(36, 64),(38, 65),(41, 66),(43, 67),(46, 68),(48, 69),(52, 70),(55, 71),(56, 72),(57, 73),(65, 74),(65, 75),(66, 76),(66, 77),(69, 78),(71, 79),(75, 80),(76, 81),(78, 82),(81, 83),(84, 84),(87, 85),(88, 86),(91, 87),(94, 88),(97, 89),(99, 90),(102, 91),(105, 92),(109, 93),(112, 94),(115, 95),(120, 96),(123, 97),(130, 98),(131, 99),(134, 100),(138, 101),(143, 102),(148, 103),(152, 104),(157, 105),(162, 106),(167, 107),(172, 108),(178, 109),(182, 110),(188, 111),(193, 112),(200, 113),(205, 114),(212, 115),(218, 116),(223, 117),(229, 118),(234, 119),(239, 120),(247, 121),(249, 122),(253, 123),(260, 124),(263, 125),(269, 126),(273, 127),(280, 128),(292, 129),(309, 130),(324, 131),(335, 132),(344, 133),(358, 134),(360, 135),(368, 136),(376, 137),(382, 138),(389, 139),(396, 140),(404, 141),(412, 142),(419, 143),(427, 144),(435, 145),(443, 146),(452, 147),(465, 148),(479, 149),(489, 150),(500, 151),(518, 152),(520, 153),(528, 154),(535, 155),(542, 156),(549, 157),(557, 158),(569, 159),(579, 160),(594, 161),(610, 162),(621, 163),(634, 164),(767, 163),(778, 162),(784, 161),(791, 160),(797, 159),(803, 158),(810, 157),(815, 156),(819, 155),(824, 154),(830, 153),(836, 152),(840, 151),(845, 150),(850, 149),(855, 148),(860, 147),(865, 146),(874, 145),(875, 144),(879, 143),(885, 142),(890, 141),(895, 140),(901, 139),(908, 138),(919, 137),(990, 138),(1003, 139),(1012, 140),(1019, 141),(1026, 142),(1032, 143),(1038, 144),(1045, 145),(1049, 146),(1056, 147),(1060, 148),(1065, 149),(1071, 150),(1076, 151),(1083, 152),(1092, 153),(1094, 154),(1096, 155),(1103, 156),(1106, 157),(1112, 158),(1115, 159),(1120, 160),(1124, 161),(1129, 162),(1134, 163),(1140, 164),(1143, 165),(1150, 166),(1153, 167),(1157, 168),(1162, 169),(1169, 170),(1172, 171),(1178, 172),(1184, 173),(1191, 174),(1197, 175),(1204, 176),(1211, 177),(1219, 178),(1224, 179),(1230, 180),(1236, 181),(1241, 182),(1247, 183),(1252, 184),(1256, 185),(1264, 186),(1268, 187),(1270, 188),(1276, 189),(1280, 190),(1285, 191),(1289, 192),(1294, 193),(1299, 194),(1304, 195),(1310, 196),(1322, 197),(1324, 198),(1329, 199),(1335, 200),(1342, 201),(1349, 202),(1356, 203),(1365, 204),(1377, 205),(1384, 206),(1399, 207),(1417, 208),(1449, 209),(1541, 208),(1549, 207),(1555, 206),(1560, 205),(1565, 204),(1571, 203),(1574, 202),(1583, 201),(1584, 200),(1586, 199),(1593, 198),(1596, 197),(1601, 196),(1604, 195),(1607, 194),(1611, 193),(1615, 192),(1618, 191),(1622, 190),(1626, 189),(1630, 188),(1638, 187),(1638, 186),(1641, 185),(1646, 184),(1648, 183),(1654, 182),(1656, 181),(1660, 180),(1664, 179),(1668, 178),(1673, 177),(1677, 176),(1682, 175),(1687, 174),(1695, 173),(1698, 172),(1702, 171),(1709, 170),(1714, 169),(1721, 168),(1728, 167),(1741, 166),(1822, 167),(1833, 168),(1846, 169),(1853, 170),(1860, 171),(1867, 172),(1874, 173),(1881, 174),(1890, 175),(1901, 176),(1902, 177),(1911, 178),(1918, 179),(1923, 180),(1929, 181),(1935, 182),(1941, 183),(1948, 184),(1958, 185),(1959, 186),(1959, 187),(1963, 188),(1969, 189),(1971, 190),(1977, 191),(1980, 192),(1985, 193),(1990, 194),(1996, 195),(2003, 196),(2010, 197),(2019, 198),(2027, 199),(2038, 200),(2051, 201),(2165, 200),(2174, 199),(2179, 198),(2184, 197),(2189, 196),(2195, 195),(2197, 194),(2201, 193),(2205, 192),(2209, 191),(2212, 190),(2215, 189),(2218, 188),(2223, 187),(2225, 186),(2226, 185),(2236, 184),(2236, 183),(2237, 182),(2237, 181),(2240, 180),(2242, 179),(2246, 178),(2247, 177),(2250, 176),(2252, 175),(2255, 174),(2258, 173),(2260, 172),(2262, 171),(2265, 170),(2267, 169),(2270, 168),(2272, 167),(2275, 166),(2278, 165),(2281, 164),(2284, 163),(2289, 162),(2291, 161),(2298, 160),(2301, 159),(2303, 158),(2310, 157),(2317, 156),(2387, 157),(2397, 158),(2406, 159),(2409, 160),(2416, 161),(2424, 162),(2427, 163),(2433, 164),(2438, 165),(2443, 166)'}",1200.0,1.44,True,209
18.85,50.0,130.0,"{'time, angle': '(-932, 82),(-931, 81),(-927, 80),(-918, 79),(-918, 78),(-917, 77),(-913, 76),(-910, 75),(-905, 74),(-904, 73),(-902, 72),(-896, 71),(-895, 70),(-892, 69),(-888, 68),(-887, 67),(-883, 66),(-881, 65),(-879, 64),(-876, 63),(-874, 62),(-871, 61),(-868, 60),(-866, 59),(-862, 58),(-860, 57),(-858, 56),(-852, 55),(-852, 54),(-850, 53),(-848, 52),(-846, 51),(-843, 50),(-839, 49),(-838, 48),(-835, 47),(-833, 46),(-828, 45),(-828, 44),(-825, 43),(-820, 42),(-820, 41),(-816, 40),(-815, 39),(-812, 38),(-809, 37),(-807, 36),(-804, 35),(-801, 34),(-797, 33),(-794, 32),(-792, 31),(-783, 30),(-782, 29),(-782, 28),(-782, 27),(-779, 26),(-777, 25),(-775, 24),(-770, 23),(-770, 22),(-768, 21),(-766, 20),(-764, 19),(-762, 18),(-758, 17),(-758, 16),(-755, 15),(-754, 14),(-750, 13),(-750, 12),(-748, 11),(-745, 10),(-744, 9),(-743, 8),(-741, 7),(-739, 6),(-738, 5),(-736, 4),(-734, 3),(-733, 2),(-731, 1),(-729, 0),(-728, -1),(-281, 0),(-253, 1),(-242, 2),(-225, 3),(-211, 4),(-197, 5),(-186, 6),(-177, 7),(-169, 8),(-160, 9),(-149, 10),(-149, 11),(-144, 12),(-137, 13),(-134, 14),(-128, 15),(-123, 16),(-119, 17),(-114, 18),(-110, 19),(-103, 20),(-96, 21),(-95, 22),(-92, 23),(-88, 24),(-84, 25),(-78, 26),(-76, 27),(-71, 28),(-69, 29),(-66, 30),(-62, 31),(-59, 32),(-56, 33),(-52, 34),(-48, 35),(-45, 36),(-37, 37),(-36, 38),(-34, 39),(-32, 40),(-29, 41),(-25, 42),(-22, 43),(-19, 44),(-15, 45),(-12, 46),(-8, 47),(-6, 48),(-3, 49),(0, 50),(3, 51),(6, 52),(9, 53),(13, 54),(21, 55),(22, 56),(22, 57),(24, 58),(27, 59),(33, 60),(34, 61),(35, 62),(38, 63),(40, 64),(46, 65),(46, 66),(50, 67),(53, 68),(57, 69),(59, 70),(62, 71),(65, 72),(68, 73),(72, 74),(75, 75),(79, 76),(87, 77),(89, 78),(89, 79),(92, 80),(94, 81),(100, 82),(103, 83),(105, 84),(110, 85),(113, 86),(118, 87),(120, 88),(123, 89),(127, 90),(131, 91),(134, 92),(139, 93),(149, 94),(150, 95),(150, 96),(154, 97),(160, 98),(163, 99),(165, 100),(170, 101),(173, 102),(177, 103),(181, 104),(185, 105),(188, 106),(192, 107),(196, 108),(201, 109),(212, 110),(213, 111),(213, 112),(216, 113),(221, 114),(224, 115),(227, 116),(231, 117),(235, 118),(239, 119),(243, 120),(247, 121),(250, 122),(254, 123),(257, 124),(261, 125),(271, 126),(272, 127),(273, 128),(273, 129),(276, 130),(282, 131),(282, 132),(285, 133),(288, 134),(292, 135),(294, 136),(297, 137),(300, 138),(302, 139),(305, 140),(308, 141),(311, 142),(314, 143),(317, 144),(320, 145),(323, 146),(326, 147),(331, 148),(337, 149),(338, 150),(340, 151),(346, 152),(349, 153),(355, 154),(358, 155),(363, 156),(367, 157),(372, 158),(377, 159),(384, 160),(388, 161),(394, 162),(398, 163),(405, 164),(408, 165),(412, 166),(417, 167),(422, 168),(426, 169),(430, 170),(435, 171),(440, 172),(451, 173),(453, 174),(455, 175),(460, 176),(466, 177),(471, 178),(476, 179),(481, 180),(486, 181),(492, 182),(497, 183),(507, 184),(510, 185),(515, 186),(522, 187),(529, 188),(539, 189),(550, 190),(565, 191),(598, 192),(700, 191),(713, 190),(720, 189),(726, 188),(731, 187),(735, 186),(740, 185),(744, 184),(749, 183),(758, 182),(759, 181),(760, 180),(763, 179),(768, 178),(771, 177),(776, 176),(779, 175),(784, 174),(788, 173),(792, 172),(796, 171),(801, 170),(809, 169),(810, 168),(811, 167),(814, 166),(818, 165),(821, 164),(825, 163),(828, 162),(831, 161),(835, 160),(838, 159),(842, 158),(846, 157),(851, 156),(857, 155),(866, 154),(933, 155),(947, 156),(963, 157),(965, 158),(972, 159),(979, 160),(984, 161),(990, 162),(995, 163),(1000, 164),(1006, 165),(1013, 166),(1016, 167),(1023, 168),(1030, 169),(1036, 170),(1047, 171),(1061, 172),(1074, 173),(1084, 174),(1096, 175),(1113, 176),(1117, 177),(1127, 178),(1134, 179),(1143, 180),(1152, 181),(1161, 182),(1169, 183),(1178, 184),(1185, 185),(1192, 186),(1200, 187),(1206, 188),(1218, 189),(1220, 190),(1228, 191),(1238, 192),(1317, 191),(1326, 190),(1329, 189),(1334, 188),(1337, 187),(1341, 186),(1344, 185),(1347, 184),(1349, 183),(1352, 182),(1355, 181),(1357, 180),(1359, 179),(1362, 178),(1364, 177),(1367, 176),(1369, 175),(1370, 174),(1372, 173),(1376, 172),(1377, 171),(1379, 170),(1381, 169),(1384, 168),(1386, 167),(1390, 166),(1391, 165),(1394, 164),(1398, 163),(1401, 162),(1403, 161),(1407, 160),(1412, 159),(1417, 158),(1422, 157),(1430, 156),(1439, 155),(1448, 154),(1455, 153),(1462, 152),(1470, 151),(1479, 150),(1493, 149),(1566, 150),(1577, 151),(1585, 152),(1591, 153),(1599, 154),(1601, 155),(1608, 156),(1611, 157),(1614, 158),(1619, 159),(1621, 160),(1624, 161),(1627, 162),(1631, 163),(1634, 164),(1637, 165),(1640, 166),(1643, 167),(1646, 168),(1652, 169),(1653, 170),(1656, 171),(1664, 172),(1664, 173),(1667, 174),(1673, 175),(1676, 176),(1681, 177),(1685, 178),(1690, 179),(1696, 180),(1704, 181),(1712, 182),(1721, 183),(1731, 184),(1742, 185),(1753, 186),(1770, 187),(1779, 188),(1790, 189),(1801, 190),(1815, 191),(1828, 192),(1843, 193),(1939, 192),(1947, 191),(1954, 190),(1959, 189),(1965, 188),(1972, 187),(1973, 186),(1979, 185),(1980, 184),(1984, 183),(1987, 182),(1990, 181),(1993, 180),(1996, 179),(1999, 178),(2001, 177),(2005, 176),(2007, 175),(2010, 174),(2013, 173),(2016, 172),(2018, 171),(2021, 170),(2024, 169),(2033, 168),(2034, 167),(2034, 166),(2036, 165),(2040, 164),(2043, 163),(2046, 162),(2051, 161),(2054, 160),(2059, 159),(2063, 158),(2069, 157),(2075, 156),(2086, 155),(2099, 154),(2146, 153),(2169, 152),(2186, 151),(2199, 150),(2212, 149),(2227, 148),(2239, 147),(2247, 146),(2258, 145),(2269, 144),(2279, 143),(2290, 142),(2301, 141),(2309, 140),(2317, 139),(2327, 138),(2339, 137),(2352, 136),(2378, 135),(2413, 134),(2426, 133),(2437, 132),(2446, 131),(2455, 130),(2463, 129),(2468, 128),(2474, 127),(2482, 126),(2489, 125),(2499, 124),(2507, 123),(2515, 122),(2524, 121),(2531, 120),(2539, 119),(2548, 118),(2558, 117),(2570, 116),(2579, 115)'}",1300.0,1.58,True,223
